date,open,high,low,close,volume
2025-09-22,100.00,100.30,99.70,100.00,1000
2025-09-23,100.00,100.30,99.70,100.00,1000
2025-09-24,100.00,100.30,99.70,100.00,1000
2025-09-25,100.00,100.30,99.70,100.00,1000
2025-09-26,100.00,100.30,99.70,100.00,1000
2025-09-29,100.00,100.30,99.70,100.00,1000
2025-09-30,100.00,100.30,99.70,100.00,1000
2025-10-01,100.00,100.30,99.70,100.00,1000
2025-10-02,100.00,100.30,99.70,100.00,1000
2025-10-03,100.00,100.30,99.70,100.00,1000
2025-10-06,100.00,100.30,99.70,100.00,1000
2025-10-07,100.00,100.30,99.70,100.00,1000
2025-10-08,100.00,100.30,99.70,100.00,1000
2025-10-09,100.00,100.30,99.70,100.00,1000
2025-10-10,100.00,100.30,99.70,100.00,1000
2025-10-13,100.00,100.30,99.70,100.00,1000
2025-10-14,100.00,100.30,99.70,100.00,1000
2025-10-15,100.00,100.30,99.70,100.00,1000
2025-10-16,100.00,100.30,99.70,100.00,1000
2025-10-17,100.00,100.30,99.70,100.00,1000
2025-10-20,100.00,100.30,99.70,100.00,1000
2025-10-21,100.00,100.30,99.70,100.00,1000
2025-10-22,100.00,100.30,99.70,100.00,1000
2025-10-23,100.00,100.30,99.70,100.00,1000
2025-10-24,100.00,100.30,99.70,100.00,1000
2025-10-27,100.00,100.30,99.70,100.00,1000
2025-10-28,100.00,100.30,99.70,100.00,1000
2025-10-29,100.00,100.30,99.70,100.00,1000
2025-10-30,100.00,100.30,99.70,100.00,1000
2025-10-31,100.00,100.30,99.70,100.00,1000
2025-11-03,100.00,100.30,99.70,100.00,1000
2025-11-04,100.00,100.30,99.70,100.00,1000
2025-11-05,100.00,100.30,99.70,100.00,1000
2025-11-06,100.00,100.30,99.70,100.00,1000
2025-11-07,100.00,100.30,99.70,100.00,1000
2025-11-10,100.00,100.30,99.70,100.00,1000
2025-11-11,100.00,100.30,99.70,100.00,1000
2025-11-12,100.00,100.30,99.70,100.00,1000
2025-11-13,100.00,100.30,99.70,100.00,1000
2025-11-14,100.00,100.30,99.70,100.00,1000
2025-11-17,100.00,100.30,99.70,100.00,1000
2025-11-18,100.00,100.30,99.70,100.00,1000
2025-11-19,100.00,100.30,99.70,100.00,1000
2025-11-20,100.00,100.30,99.70,100.00,1000
2025-11-21,100.00,100.30,99.70,100.00,1000
2025-11-24,100.00,100.30,99.70,100.00,1000
2025-11-25,100.00,100.30,99.70,100.00,1000
2025-11-26,100.00,100.30,99.70,100.00,1000
2025-11-27,100.00,100.30,99.70,100.00,1000
2025-11-28,100.00,100.30,99.70,100.00,1000
2025-12-01,100.00,100.30,99.70,100.00,1000
2025-12-02,100.00,100.30,99.70,100.00,1000
2025-12-03,100.00,100.30,99.70,100.00,1000
2025-12-04,100.00,100.30,99.70,100.00,1000
2025-12-05,100.00,100.30,99.70,100.00,1000
2025-12-08,100.00,100.30,99.70,100.00,1000
2025-12-09,100.00,100.30,99.70,100.00,1000
2025-12-10,100.00,100.30,99.70,100.00,1000
2025-12-11,100.00,100.30,99.70,100.00,1000
2025-12-12,100.00,100.30,99.70,100.00,1000
2025-12-15,100.00,100.30,99.70,100.00,1000
2025-12-16,100.00,100.30,99.70,100.00,1000
2025-12-17,100.00,100.30,99.70,100.00,1000
2025-12-18,100.00,100.30,99.70,100.00,1000
2025-12-19,100.00,100.30,99.70,100.00,1000
2025-12-22,100.00,100.30,99.70,100.00,1000
2025-12-23,100.00,100.30,99.70,100.00,1000
2025-12-24,100.00,100.30,99.70,100.00,1000
2025-12-25,100.00,100.30,99.70,100.00,1000
2025-12-26,100.00,100.30,99.70,100.00,1000
2025-12-29,100.00,100.30,99.70,100.00,1000
2025-12-30,100.00,100.30,99.70,100.00,1000
2025-12-31,100.00,100.30,99.70,100.00,1000
2026-01-01,100.00,100.30,99.70,100.00,1000
2026-01-02,100.00,100.30,99.70,100.00,1000
2026-01-05,100.00,100.30,99.70,100.00,1000
2026-01-06,100.00,100.30,99.70,100.00,1000
2026-01-07,100.00,100.30,99.70,100.00,1000
2026-01-08,100.00,100.30,99.70,100.00,1000
2026-01-09,100.00,100.30,99.70,100.00,1000
2026-01-12,100.00,100.30,99.70,100.00,1000
2026-01-13,100.00,100.30,99.70,100.00,1000
2026-01-14,100.00,100.30,99.70,100.00,1000
2026-01-15,100.00,100.30,99.70,100.00,1000
2026-01-16,100.00,100.30,99.70,100.00,1000
2026-01-19,100.00,100.30,99.70,100.00,1000
2026-01-20,100.00,100.30,99.70,100.00,1000
2026-01-21,100.00,100.30,99.70,100.00,1000
2026-01-22,100.00,100.30,99.70,100.00,1000
2026-01-23,100.00,100.30,99.70,100.00,1000
2026-01-26,100.00,100.30,99.70,100.00,1000
2026-01-27,100.00,100.30,99.70,100.00,1000
2026-01-28,100.00,100.30,99.70,100.00,1000
2026-01-29,100.00,100.30,99.70,100.00,1000
2026-01-30,100.00,100.30,99.70,100.00,1000
2026-02-02,100.00,100.30,99.70,100.00,1000
2026-02-03,100.00,100.30,99.70,100.00,1000
2026-02-04,100.00,100.30,99.70,100.00,1000
2026-02-05,100.00,100.30,99.70,100.00,1000
2026-02-06,100.00,100.30,99.70,100.00,1000
2026-02-09,100.00,100.30,99.70,100.00,1000
2026-02-10,100.00,100.30,99.70,100.00,1000
2026-02-11,100.00,100.30,99.70,100.00,1000
2026-02-12,100.00,100.30,99.70,100.00,1000
2026-02-13,100.00,100.30,99.70,100.00,1000
2026-02-16,100.00,100.30,99.70,100.00,1000
2026-02-17,100.00,100.30,99.70,100.00,1000
2026-02-18,100.00,100.30,99.70,100.00,1000
2026-02-19,100.00,100.30,99.70,100.00,1000
2026-02-20,100.00,100.30,99.70,100.00,1000
2026-02-23,100.00,100.30,99.70,100.00,1000
2026-02-24,100.00,100.30,99.70,100.00,1000
2026-02-25,100.00,100.30,99.70,100.00,1000
2026-02-26,100.00,100.30,99.70,100.00,1000
2026-02-27,100.00,100.30,99.70,100.00,1000
2026-03-02,100.00,100.30,99.70,100.00,1000
2026-03-03,100.00,100.30,99.70,100.00,1000
2026-03-04,100.00,100.30,99.70,100.00,1000
2026-03-05,100.00,100.30,99.70,100.00,1000
2026-03-06,100.00,100.30,99.70,100.00,1000
2026-03-09,100.00,100.30,99.70,100.00,1000
2026-03-10,100.00,100.30,99.70,100.00,1000
2026-03-11,100.00,100.30,99.70,100.00,1000
2026-03-12,100.00,100.30,99.70,100.00,1000
2026-03-13,100.00,100.30,99.70,100.00,1000
2026-03-16,100.00,100.30,99.70,100.00,1000
2026-03-17,100.00,100.30,99.70,100.00,1000
2026-03-18,100.00,100.30,99.70,100.00,1000
2026-03-19,100.00,100.30,99.70,100.00,1000
2026-03-20,100.00,100.30,99.70,100.00,1000
2026-03-23,100.00,100.30,99.70,100.00,1000
2026-03-24,100.00,100.30,99.70,100.00,1000
2026-03-25,100.00,100.30,99.70,100.00,1000
2026-03-26,100.00,100.30,99.70,100.00,1000
2026-03-27,100.00,100.30,99.70,100.00,1000
2026-03-30,100.00,100.30,99.70,100.00,1000
2026-03-31,100.00,100.30,99.70,100.00,1000
2026-04-01,100.00,100.30,99.70,100.00,1000
2026-04-02,100.00,100.30,99.70,100.00,1000
2026-04-03,100.00,100.30,99.70,100.00,1000
2026-04-06,100.00,100.30,99.70,100.00,1000
2026-04-07,100.00,100.30,99.70,100.00,1000
2026-04-08,100.00,100.30,99.70,100.00,1000
2026-04-09,100.00,100.30,99.70,100.00,1000
2026-04-10,100.00,100.30,99.70,100.00,1000
2026-04-13,100.00,100.30,99.70,100.00,1000
2026-04-14,100.00,100.30,99.70,100.00,1000
2026-04-15,100.00,100.30,99.70,100.00,1000
2026-04-16,100.00,100.30,99.70,100.00,1000
2026-04-17,100.00,100.30,99.70,100.00,1000
2026-04-20,100.00,100.30,99.70,100.00,1000
2026-04-21,100.00,100.30,99.70,100.00,1000
2026-04-22,100.00,100.30,99.70,100.00,1000
2026-04-23,100.00,100.30,99.70,100.00,1000
2026-04-24,100.00,100.30,99.70,100.00,1000
2026-04-27,100.00,100.30,99.70,100.00,1000
2026-04-28,100.00,100.30,99.70,100.00,1000
2026-04-29,100.00,100.30,99.70,100.00,1000
2026-04-30,100.00,100.30,99.70,100.00,1000
2026-05-01,100.00,100.30,99.70,100.00,1000
2026-05-04,100.00,100.30,99.70,100.00,1000
2026-05-05,100.00,100.30,99.70,100.00,1000
2026-05-06,100.00,100.30,99.70,100.00,1000
2026-05-07,100.00,100.30,99.70,100.00,1000
2026-05-08,100.00,100.30,99.70,100.00,1000
2026-05-11,100.00,100.30,99.70,100.00,1000
2026-05-12,100.00,100.30,99.70,100.00,1000
2026-05-13,100.00,100.30,99.70,100.00,1000
2026-05-14,100.00,100.30,99.70,100.00,1000
2026-05-15,100.00,100.30,99.70,100.00,1000
2026-05-18,100.00,100.30,99.70,100.00,1000
2026-05-19,100.00,100.30,99.70,100.00,1000
2026-05-20,100.00,100.30,99.70,100.00,1000
2026-05-21,100.00,100.30,99.70,100.00,1000
2026-05-22,100.00,100.30,99.70,100.00,1000
2026-05-25,100.00,100.30,99.70,100.00,1000
2026-05-26,100.00,100.30,99.70,100.00,1000
2026-05-27,100.00,100.30,99.70,100.00,1000
2026-05-28,100.00,100.30,99.70,100.00,1000
2026-05-29,100.00,100.30,99.70,100.00,1000
2026-06-01,100.00,100.30,99.70,100.00,1000
2026-06-02,100.00,100.30,99.70,100.00,1000
2026-06-03,100.00,100.30,99.70,100.00,1000
2026-06-04,100.00,100.30,99.70,100.00,1000
2026-06-05,100.00,100.30,99.70,100.00,1000
2026-06-08,100.00,100.30,99.70,100.00,1000
2026-06-09,100.00,100.30,99.70,100.00,1000
2026-06-10,100.00,100.30,99.70,100.00,1000
2026-06-11,100.00,100.30,99.70,100.00,1000
2026-06-12,100.00,100.30,99.70,100.00,1000
2026-06-15,100.00,100.30,99.70,100.00,1000
2026-06-16,100.00,100.30,99.70,100.00,1000
2026-06-17,100.00,100.30,99.70,100.00,1000
2026-06-18,100.00,100.30,99.70,100.00,1000
2026-06-19,100.00,100.30,99.70,100.00,1000
2026-06-22,100.00,100.30,99.70,100.00,1000
2026-06-23,100.00,100.30,99.70,100.00,1000
2026-06-24,100.00,100.30,99.70,100.00,1000
2026-06-25,100.00,100.30,99.70,100.00,1000
2026-06-26,100.00,100.30,99.70,100.00,1000
2026-06-29,99.95,100.30,98.70,100.00,980
2026-06-30,99.95,100.30,98.70,100.00,980
2026-07-01,99.95,100.30,98.70,100.00,980
2026-07-02,99.95,100.30,98.70,100.00,980
2026-07-03,99.95,100.30,98.70,100.00,980
2026-07-06,99.95,100.30,98.70,100.00,980
2026-07-07,99.95,100.30,98.70,100.00,980
2026-07-08,99.95,100.30,98.70,100.00,980
2026-07-09,99.95,100.30,98.70,100.00,980
2026-07-10,99.95,100.30,98.70,100.00,980
2026-07-13,100.00,100.15,99.85,100.00,900
2026-07-14,100.00,100.15,99.85,100.00,900
2026-07-15,100.00,100.15,99.85,100.00,900
2026-07-16,100.00,100.15,99.85,100.00,900
2026-07-17,100.00,100.15,99.85,100.00,900
2026-07-20,100.00,100.15,99.85,100.00,900
2026-07-21,100.00,100.15,99.85,100.00,900
2026-07-22,100.00,100.15,99.85,100.00,900
2026-07-23,100.00,100.15,99.85,100.00,900
2026-07-24,100.08,100.55,100.00,100.50,2400
2026-07-27,100.64,101.00,100.44,100.72,1100
2026-07-28,100.86,101.22,100.66,100.94,1100
2026-07-29,101.08,101.44,100.88,101.16,1100
2026-07-30,101.30,101.66,101.10,101.38,1100
2026-07-31,101.52,101.88,101.32,101.60,1100
2026-08-03,101.74,102.10,101.54,101.82,1100
2026-08-04,101.96,102.32,101.76,102.04,1100
2026-08-05,102.18,102.54,101.98,102.26,1100
2026-08-06,102.40,102.76,102.20,102.48,1100
2026-08-07,102.62,102.98,102.42,102.70,1100
2026-08-10,102.84,103.20,102.64,102.92,1100
2026-08-11,103.06,103.42,102.86,103.14,1100
2026-08-12,103.28,103.64,103.08,103.36,1100
2026-08-13,103.50,103.86,103.30,103.58,1100
2026-08-14,103.72,104.08,103.52,103.80,1100
